Opp,FG%,3P%,Rebounds,Blocks,Points,win_rate,group,type,Name,Latitude,Longitude,win_rate_lab,avg_pt_LAB,avg_trb_LAB,avg_blk_LAB,id
GSW,55%,20%,7,0,25,1,28,Age,Golden State Warriors,37.768056,-122.3875,100%,25,7,0,10
GSW,48.3%,31.6%,10.8,1.3,31.5,0.3103448275862069,2014-2018 CLE,Team,Golden State Warriors,37.768056,-122.3875,31%,31.5,10.8,1.3,10
GSW,50.2%,37.1%,8.2,1.4,28.8,0.6153846153846154,2003-2010 CLE,Team,Golden State Warriors,37.768056,-122.3875,61.5%,28.8,8.2,1.4,10
GSW,69.2%,75%,7,1,23,1,23,Age,Golden State Warriors,37.768056,-122.3875,100%,23,7,1,10
GSW,53.9%,50%,7.5,2.5,31,1,25,Age,Golden State Warriors,37.768056,-122.3875,100%,31,7.5,2.5,10
GSW,54.1%,31.4%,7.6,0.4,27.7,0.5714285714285714,2010-2014 MIA,Team,Golden State Warriors,37.768056,-122.3875,57.1%,27.7,7.6,0.4,10
GSW,54.2%,0%,12,1,28,1,20,Age,Golden State Warriors,37.768056,-122.3875,100%,28,12,1,10
GSW,52.4%,20%,6,1,23,1,34,Age,Golden State Warriors,37.768056,-122.3875,100%,23,6,1,10
GSW,45.2%,53.3%,8.7,0.7,32,0.3333333333333333,19,Age,Golden State Warriors,37.768056,-122.3875,33.3%,32,8.7,0.7,10
GSW,46.7%,0%,7,1,25,1,26,Age,Golden State Warriors,37.768056,-122.3875,100%,25,7,1,10
GSW,49.8%,30%,7,2,31.5,1,24,Age,Golden State Warriors,37.768056,-122.3875,100%,31.5,7,2,10
GSW,53.3%,26.2%,8.3,1.3,27,0.6666666666666666,22,Age,Golden State Warriors,37.768056,-122.3875,66.7%,27,8.3,1.3,10
GSW,41.2%,37.5%,8,0,22,1,35,Age,Golden State Warriors,37.768056,-122.3875,100%,22,8,0,10
GSW,48.7%,34.4%,10.8,2,28.3,0.5555555555555556,31,Age,Golden State Warriors,37.768056,-122.3875,55.6%,28.3,10.8,2,10
GSW,50.7%,36.2%,9.3,0.6,26.4,0.6666666666666666,2018-Now LAL,Team,Golden State Warriors,37.768056,-122.3875,66.7%,26.4,9.3,0.6,10
HOU,49.6%,34.2%,7.2,1,24.2,1,36,Age,Houston Rockets,29.750833,-95.362222,100%,24.2,7.2,1,11
HOU,46.3%,32.4%,9.7,1,28.3,0.3333333333333333,23,Age,Houston Rockets,29.750833,-95.362222,33.3%,28.3,9.7,1,11
HOU,48.5%,16.7%,3,0,23,0.5,29,Age,Houston Rockets,29.750833,-95.362222,50%,23,3,0,11
HOU,42.9%,33.3%,8,3,37,0,30,Age,Houston Rockets,29.750833,-95.362222,0%,37,8,3,11
HOU,49.1%,26.1%,8.6,1.2,25.2,0.6875,2018-Now LAL,Team,Houston Rockets,29.750833,-95.362222,68.8%,25.2,8.6,1.2,11
HOU,53.3%,0%,6,0,20,1,25,Age,Houston Rockets,29.750833,-95.362222,100%,20,6,0,11
HOU,47.8%,0%,12,1,29,1,34,Age,Houston Rockets,29.750833,-95.362222,100%,29,12,1,11
HOU,13.9%,0%,5,0.5,7,0,19,Age,Houston Rockets,29.750833,-95.362222,0%,7,5,0.5,11
HOU,61.1%,50%,6,2,32,1,28,Age,Houston Rockets,29.750833,-95.362222,100%,32,6,2,11
HOU,45.9%,38.1%,6.3,0.7,21.3,0,33,Age,Houston Rockets,29.750833,-95.362222,0%,21.3,6.3,0.7,11
HOU,39.9%,30.6%,6.3,0.6,23.8,0.2857142857142857,2003-2010 CLE,Team,Houston Rockets,29.750833,-95.362222,28.6%,23.8,6.3,0.6,11
HOU,50%,50%,12,0,32,1,22,Age,Houston Rockets,29.750833,-95.362222,100%,32,12,0,11
HOU,43.8%,43.3%,4,1.3,25.7,0.3333333333333333,24,Age,Houston Rockets,29.750833,-95.362222,33.3%,25.7,4,1.3,11
HOU,47.1%,25.4%,6.7,0,29.7,0.3333333333333333,21,Age,Houston Rockets,29.750833,-95.362222,33.3%,29.7,6.7,0,11
HOU,61.3%,30.7%,5.5,0.5,31.5,0,32,Age,Houston Rockets,29.750833,-95.362222,0%,31.5,5.5,0.5,11
HOU,34.6%,11.1%,14,4,23,0,37,Age,Houston Rockets,29.750833,-95.362222,0%,23,14,4,11
HOU,53.1%,47.9%,9,1,35,1,27,Age,Houston Rockets,29.750833,-95.362222,100%,35,9,1,11
HOU,61.9%,0%,10,0,33,1,26,Age,Houston Rockets,29.750833,-95.362222,100%,33,10,0,11
HOU,49.6%,24.5%,9.4,1.3,25.4,0.7142857142857143,35,Age,Houston Rockets,29.750833,-95.362222,71.4%,25.4,9.4,1.3,11
HOU,54.2%,25.6%,6.6,0.6,28.7,0.8571428571428571,2010-2014 MIA,Team,Houston Rockets,29.750833,-95.362222,85.7%,28.7,6.6,0.6,11
HOU,50%,41.6%,10,1,19,1,31,Age,Houston Rockets,29.750833,-95.362222,100%,19,10,1,11
HOU,49.2%,38%,8,1.2,24.8,0.3333333333333333,2014-2018 CLE,Team,Houston Rockets,29.750833,-95.362222,33.3%,24.8,8,1.2,11
HOU,31.8%,25%,4,0,19,0,20,Age,Houston Rockets,29.750833,-95.362222,0%,19,4,0,11
HOU,36.8%,50%,1,0,17,0,18,Age,Houston Rockets,29.750833,-95.362222,0%,17,1,0,11
IND,48.9%,29.6%,7.5,0.4,27.2,0.5,2018-Now LAL,Team,Indiana Pacers,39.763889,-86.155556,50%,27.2,7.5,0.4,12
IND,47%,11.1%,6.3,0.3,27.7,0.6666666666666666,30,Age,Indiana Pacers,39.763889,-86.155556,66.7%,27.7,6.3,0.3,12
IND,48.3%,12.5%,7,0.8,24.8,1,22,Age,Indiana Pacers,39.763889,-86.155556,100%,24.8,7,0.8,12
IND,47.2%,13.3%,6,1.3,25.3,0.3333333333333333,19,Age,Indiana Pacers,39.763889,-86.155556,33.3%,25.3,6,1.3,12
IND,46.7%,24.1%,7.3,1.3,27,0.6666666666666666,2003-2010 CLE,Team,Indiana Pacers,39.763889,-86.155556,66.7%,27,7.3,1.3,12
IND,57.7%,38.9%,8.9,1.4,32.2,0.7777777777777778,32,Age,Indiana Pacers,39.763889,-86.155556,77.8%,32.2,8.9,1.4,12
IND,58.5%,39.7%,7,0.7,41.3,0.6666666666666666,24,Age,Indiana Pacers,39.763889,-86.155556,66.7%,41.3,7,0.7,12
IND,40.7%,25%,7.7,2,26.3,0.6666666666666666,25,Age,Indiana Pacers,39.763889,-86.155556,66.7%,26.3,7.7,2,12
IND,54.2%,33.3%,8,1,31,0,35,Age,Indiana Pacers,39.763889,-86.155556,0%,31,8,1,12
IND,50.7%,36.9%,8.1,0.8,27.1,0.5517241379310345,2010-2014 MIA,Team,Indiana Pacers,39.763889,-86.155556,55.2%,27.1,8.1,0.8,12
IND,44.4%,30.6%,5,0.7,27,1,36,Age,Indiana Pacers,39.763889,-86.155556,100%,27,5,0.7,12
IND,48%,29%,9.1,0.4,26.8,0.625,27,Age,Indiana Pacers,39.763889,-86.155556,62.5%,26.8,9.1,0.4,12
IND,50.3%,42.5%,8.2,1.2,26.7,0.4545454545454546,28,Age,Indiana Pacers,39.763889,-86.155556,45.5%,26.7,8.2,1.2,12
IND,38.6%,4%,6.8,0.4,21.8,0.4,20,Age,Indiana Pacers,39.763889,-86.155556,40%,21.8,6.8,0.4,12
IND,50%,42.9%,12,0,30,0,37,Age,Indiana Pacers,39.763889,-86.155556,0%,30,12,0,12
IND,52.5%,34.2%,6.2,0.6,25.6,0.625,29,Age,Indiana Pacers,39.763889,-86.155556,62.5%,25.6,6.2,0.6,12
IND,49.3%,55.8%,7,1,27.5,0.75,21,Age,Indiana Pacers,39.763889,-86.155556,75%,27.5,7,1,12
IND,54.2%,28.9%,8.6,1,31,0.7083333333333334,2014-2018 CLE,Team,Indiana Pacers,39.763889,-86.155556,70.8%,31,8.6,1,12
IND,49.1%,20%,8,0,19,0,34,Age,Indiana Pacers,39.763889,-86.155556,0%,19,8,0,12
IND,52.2%,25%,8.5,0.5,28.5,1,31,Age,Indiana Pacers,39.763889,-86.155556,100%,28.5,8.5,0.5,12
IND,54.2%,29%,9.7,0.9,33.2,0.6,33,Age,Indiana Pacers,39.763889,-86.155556,60%,33.2,9.7,0.9,12
IND,60.1%,36.7%,9.5,1.5,34,1,26,Age,Indiana Pacers,39.763889,-86.155556,100%,34,9.5,1.5,12
IND,43.7%,24.8%,10.5,2.5,26.8,1,23,Age,Indiana Pacers,39.763889,-86.155556,100%,26.8,10.5,2.5,12
IND,53.4%,25%,4.5,1.5,25,0,18,Age,Indiana Pacers,39.763889,-86.155556,0%,25,4.5,1.5,12
LAC,55%,42.9%,8,1,31,1,29,Age,Los Angeles Clippers,33.3408,-118.3278,100%,31,8,1,13
LAC,55%,66.6%,3.5,0.5,32,1,25,Age,Los Angeles Clippers,33.3408,-118.3278,100%,32,3.5,0.5,13
LAC,38%,33.1%,8,1,22,0.6666666666666666,35,Age,Los Angeles Clippers,33.3408,-118.3278,66.7%,22,8,1,13
LAC,34%,28.3%,6.3,1,26.7,0.6666666666666666,20,Age,Los Angeles Clippers,33.3408,-118.3278,66.7%,26.7,6.3,1,13
LAC,48.2%,25%,10,1.5,28.5,1,24,Age,Los Angeles Clippers,33.3408,-118.3278,100%,28.5,10,1.5,13
LAC,39.1%,16.7%,6,0.7,20.3,1,22,Age,Los Angeles Clippers,33.3408,-118.3278,100%,20.3,6,0.7,13
LAC,42.9%,25%,7,0,19.5,0.5,26,Age,Los Angeles Clippers,33.3408,-118.3278,50%,19.5,7,0,13
LAC,41.3%,17.5%,10.2,0.8,23,0.25,34,Age,Los Angeles Clippers,33.3408,-118.3278,25%,23,10.2,0.8,13
LAC,42.5%,26.4%,6.8,0.9,25.1,0.8461538461538461,2003-2010 CLE,Team,Los Angeles Clippers,33.3408,-118.3278,84.6%,25.1,6.8,0.9,13
LAC,65.4%,44.4%,14,0,39,1,32,Age,Los Angeles Clippers,33.3408,-118.3278,100%,39,14,0,13
LAC,52.4%,43.8%,7,0,27.5,1,30,Age,Los Angeles Clippers,33.3408,-118.3278,100%,27.5,7,0,13
LAC,64%,56.6%,5,1,24,1,28,Age,Los Angeles Clippers,33.3408,-118.3278,100%,24,5,1,13
LAC,38.9%,23.6%,9.5,1,23.5,0,37,Age,Los Angeles Clippers,33.3408,-118.3278,0%,23.5,9.5,1,13
LAC,39.1%,25%,11,0,23,0,36,Age,Los Angeles Clippers,33.3408,-118.3278,0%,23,11,0,13
LAC,39.6%,24.2%,9.5,0.8,22.8,0.3,2018-Now LAL,Team,Los Angeles Clippers,33.3408,-118.3278,30%,22.8,9.5,0.8,13
LAC,53.4%,39.3%,7.7,0.4,26.3,0.7142857142857143,2014-2018 CLE,Team,Los Angeles Clippers,33.3408,-118.3278,71.4%,26.3,7.7,0.4,13
LAC,44.5%,0%,9,1,26.5,0,27,Age,Los Angeles Clippers,33.3408,-118.3278,0%,26.5,9,1,13
LAC,42.1%,25%,11,1,28,1,23,Age,Los Angeles Clippers,33.3408,-118.3278,100%,28,11,1,13
LAC,37.5%,0%,7,1,14,1,18,Age,Los Angeles Clippers,33.3408,-118.3278,100%,14,7,1,13
LAC,47.4%,0%,7,1,22,0,19,Age,Los Angeles Clippers,33.3408,-118.3278,0%,22,7,1,13
LAC,55%,42.9%,10,3,25,0,33,Age,Los Angeles Clippers,33.3408,-118.3278,0%,25,10,3,13
LAC,51.1%,29.5%,7.1,0.7,24.4,0.5714285714285714,2010-2014 MIA,Team,Los Angeles Clippers,33.3408,-118.3278,57.1%,24.4,7.1,0.7,13
LAC,49.5%,33.3%,5.3,0,21.7,0.6666666666666666,31,Age,Los Angeles Clippers,33.3408,-118.3278,66.7%,21.7,5.3,0,13
LAL,45.9%,70.9%,5,0,28.5,0.5,21,Age,Los Angeles Lakers,34.683333,-118.15,50%,28.5,5,0,14
LAL,38.1%,50%,4.5,0.5,24,0,19,Age,Los Angeles Lakers,34.683333,-118.15,0%,24,4.5,0.5,14
LAL,43.1%,28.6%,6.8,0.5,28.1,0.5384615384615384,2003-2010 CLE,Team,Los Angeles Lakers,34.683333,-118.15,53.8%,28.1,6.8,0.5,14
LAL,60%,50%,13,0,27,1,29,Age,Los Angeles Lakers,34.683333,-118.15,100%,27,13,0,14
LAL,54.5%,47.2%,8,0.5,32,1,25,Age,Los Angeles Lakers,34.683333,-118.15,100%,32,8,0.5,14
LAL,45.1%,0%,7.3,0.7,29.7,1,22,Age,Los Angeles Lakers,34.683333,-118.15,100%,29.7,7.3,0.7,14
LAL,45%,25%,10,1,24,0,33,Age,Los Angeles Lakers,34.683333,-118.15,0%,24,10,1,14
LAL,51.1%,36.5%,7,0,29,1,30,Age,Los Angeles Lakers,34.683333,-118.15,100%,29,7,0,14
LAL,51.7%,27.1%,9,1,29.5,1,32,Age,Los Angeles Lakers,34.683333,-118.15,100%,29.5,9,1,14
LAL,36.1%,24.5%,7,0.7,21.7,0.3333333333333333,24,Age,Los Angeles Lakers,34.683333,-118.15,33.3%,21.7,7,0.7,14
LAL,54.2%,37.5%,9.4,0.8,27.4,0.875,2010-2014 MIA,Team,Los Angeles Lakers,34.683333,-118.15,87.5%,27.4,9.4,0.8,14
LAL,50.6%,33.4%,7.6,0.9,27.5,0.875,2014-2018 CLE,Team,Los Angeles Lakers,34.683333,-118.15,87.5%,27.5,7.6,0.9,14
LAL,46.2%,25%,13,1,28,0,20,Age,Los Angeles Lakers,34.683333,-118.15,0%,28,13,1,14
LAL,41.2%,0%,8,0,19,1,26,Age,Los Angeles Lakers,34.683333,-118.15,100%,19,8,0,14
LAL,61.6%,33.3%,7.3,0.3,30,1,28,Age,Los Angeles Lakers,34.683333,-118.15,100%,30,7.3,0.3,14
LAL,45.3%,33.4%,10.5,2.5,28,0.5,27,Age,Los Angeles Lakers,34.683333,-118.15,50%,28,10.5,2.5,14
LAL,50%,20%,9,0,41,1,23,Age,Los Angeles Lakers,34.683333,-118.15,100%,41,9,0,14
LAL,51.5%,38.3%,6.3,1.3,26.3,1,31,Age,Los Angeles Lakers,34.683333,-118.15,100%,26.3,6.3,1.3,14
MEM,48.9%,37.5%,4.5,0.5,25.5,0.5,25,Age,Memphis Grizzlies,35.138333,-90.050556,50%,25.5,4.5,0.5,15
MEM,55.4%,25%,7.5,0,25.5,0.5,31,Age,Memphis Grizzlies,35.138333,-90.050556,50%,25.5,7.5,0,15
MEM,51.6%,25%,5.5,1.5,25.5,0.5,35,Age,Memphis Grizzlies,35.138333,-90.050556,50%,25.5,5.5,1.5,15
MEM,59.1%,0%,2,1,34,1,32,Age,Memphis Grizzlies,35.138333,-90.050556,100%,34,2,1,15
MEM,52.2%,32.6%,9.2,0.9,25.2,0.5384615384615384,2018-Now LAL,Team,Memphis Grizzlies,35.138333,-90.050556,53.8%,25.2,9.2,0.9,15
MEM,50.3%,13.3%,12,0.3,20,0.6666666666666666,33,Age,Memphis Grizzlies,35.138333,-90.050556,66.7%,20,12,0.3,15
MEM,64.7%,57.1%,6,0,29,1,22,Age,Memphis Grizzlies,35.138333,-90.050556,100%,29,6,0,15
MEM,73.7%,75%,9,0,35,0,37,Age,Memphis Grizzlies,35.138333,-90.050556,0%,35,9,0,15
MEM,57%,40%,4.3,0.7,25.7,0.6666666666666666,29,Age,Memphis Grizzlies,35.138333,-90.050556,66.7%,25.7,4.3,0.7,15
MEM,53%,36.8%,7.3,0.8,28.7,0.7692307692307693,2003-2010 CLE,Team,Memphis Grizzlies,35.138333,-90.050556,76.9%,28.7,7.3,0.8,15
MEM,50.2%,24.3%,6.7,0.3,22.9,0.8571428571428571,2014-2018 CLE,Team,Memphis Grizzlies,35.138333,-90.050556,85.7%,22.9,6.7,0.3,15
MEM,44%,20%,7,0.5,23.5,0.5,34,Age,Memphis Grizzlies,35.138333,-90.050556,50%,23.5,7,0.5,15
MEM,49.4%,35.5%,9.7,1,29.3,0.6666666666666666,24,Age,Memphis Grizzlies,35.138333,-90.050556,66.7%,29.3,9.7,1,15
MEM,61.5%,37.5%,7.5,1,38,1,23,Age,Memphis Grizzlies,35.138333,-90.050556,100%,38,7.5,1,15
MEM,49.2%,34.8%,6.3,0.7,23.9,0.42857142857142855,2010-2014 MIA,Team,Memphis Grizzlies,35.138333,-90.050556,42.9%,23.9,6.3,0.7,15
MEM,28.6%,50%,8,1,18,1,28,Age,Memphis Grizzlies,35.138333,-90.050556,100%,18,8,1,15
MEM,52.1%,37%,5.7,1,26.3,0.6666666666666666,20,Age,Memphis Grizzlies,35.138333,-90.050556,66.7%,26.3,5.7,1,15
MEM,51.1%,36.4%,10.5,1.2,25.3,0.6666666666666666,36,Age,Memphis Grizzlies,35.138333,-90.050556,66.7%,25.3,10.5,1.2,15
MEM,33.3%,20%,1,1,15,1,21,Age,Memphis Grizzlies,35.138333,-90.050556,100%,15,1,1,15
MEM,38.8%,30%,7.5,0,16,1,30,Age,Memphis Grizzlies,35.138333,-90.050556,100%,16,7.5,0,15
MEM,62.5%,50%,5,2,27,1,26,Age,Memphis Grizzlies,35.138333,-90.050556,100%,27,5,2,15
MEM,50%,50%,16,1,33,0,18,Age,Memphis Grizzlies,35.138333,-90.050556,0%,33,16,1,15
MEM,63.6%,33.3%,5,0,31,1,19,Age,Memphis Grizzlies,35.138333,-90.050556,100%,31,5,0,15
MEM,47.3%,16.7%,8,0.5,20.5,0,27,Age,Memphis Grizzlies,35.138333,-90.050556,0%,20.5,8,0.5,15
MIA,54.5%,33.3%,8,0,27,1,31,Age,Miami Heat,25.781389,-80.188056,100%,27,8,0,16
MIA,48.7%,30%,8,0.3,41,0.3333333333333333,21,Age,Miami Heat,25.781389,-80.188056,33.3%,41,8,0.3,16
MIA,54.7%,41.5%,10.1,0.4,30.2,0.6666666666666666,2018-Now LAL,Team,Miami Heat,25.781389,-80.188056,66.7%,30.2,10.1,0.4,16
MIA,54.5%,12.5%,11,0,33,0,37,Age,Miami Heat,25.781389,-80.188056,0%,33,11,0,16
MIA,47.7%,37.2%,8.5,0.2,30.2,0.75,33,Age,Miami Heat,25.781389,-80.188056,75%,30.2,8.5,0.2,16
MIA,58.6%,39%,11.8,0.5,29.8,0.6666666666666666,35,Age,Miami Heat,25.781389,-80.188056,66.7%,29.8,11.8,0.5,16
MIA,47.7%,23.6%,8,0,34,1,25,Age,Miami Heat,25.781389,-80.188056,100%,34,8,0,16
MIA,56.3%,25%,4,0,30,0,29,Age,Miami Heat,25.781389,-80.188056,0%,30,4,0,16
MIA,46.3%,43.3%,6,1.2,32,0.75,24,Age,Miami Heat,25.781389,-80.188056,75%,32,6,1.2,16
MIA,52.8%,27.8%,3.7,0,31.7,0.3333333333333333,20,Age,Miami Heat,25.781389,-80.188056,33.3%,31.7,3.7,0,16
MIA,51.1%,25%,6,0.8,24,0.75,30,Age,Miami Heat,25.781389,-80.188056,75%,24,6,0.8,16
MIA,56.2%,36.7%,14.5,1,25.5,0.5,32,Age,Miami Heat,25.781389,-80.188056,50%,25.5,14.5,1,16
MIA,46.3%,32.4%,6,0.6,28.9,0.56,2003-2010 CLE,Team,Miami Heat,25.781389,-80.188056,56%,28.9,6,0.6,16
MIA,40%,40%,3,1,18,0,18,Age,Miami Heat,25.781389,-80.188056,0%,18,3,1,16
MIA,51.3%,53.5%,6.5,0,26.5,1,34,Age,Miami Heat,25.781389,-80.188056,100%,26.5,6.5,0,16
MIA,40.1%,41.7%,5.2,0.2,20.5,0.5,19,Age,Miami Heat,25.781389,-80.188056,50%,20.5,5.2,0.2,16
MIA,33.3%,12.5%,9,1,19,0,36,Age,Miami Heat,25.781389,-80.188056,0%,19,9,1,16
MIA,50.5%,24.8%,8.2,0.5,24.6,0.6,2014-2018 CLE,Team,Miami Heat,25.781389,-80.188056,60%,24.6,8.2,0.5,16
MIA,46.6%,26.7%,6.2,0.4,27,0.4,22,Age,Miami Heat,25.781389,-80.188056,40%,27,6.2,0.4,16
MIA,46.3%,25%,6.7,1.3,24.7,1,23,Age,Miami Heat,25.781389,-80.188056,100%,24.7,6.7,1.3,16
MIL,39.7%,10.4%,7.5,0.2,25.5,0.5,19,Age,Milwaukee Bucks,43.043611,-87.916944,50%,25.5,7.5,0.2,17
MIL,60.7%,51.1%,6,0.8,29.2,0.75,32,Age,Milwaukee Bucks,43.043611,-87.916944,75%,29.2,6,0.8,17
MIL,52.3%,39.5%,7.6,0.2,30,0.4,2018-Now LAL,Team,Milwaukee Bucks,43.043611,-87.916944,40%,30,7.6,0.2,17
MIL,42.5%,16.7%,7.5,1,20,1,25,Age,Milwaukee Bucks,43.043611,-87.916944,100%,20,7.5,1,17
MIL,47.3%,40.2%,9.5,0,26,0,34,Age,Milwaukee Bucks,43.043611,-87.916944,0%,26,9.5,0,17
MIL,55.2%,42.9%,12,1,40,1,33,Age,Milwaukee Bucks,43.043611,-87.916944,100%,40,12,1,17
MIL,62.1%,22.4%,7.3,0.4,26.7,1,28,Age,Milwaukee Bucks,43.043611,-87.916944,100%,26.7,7.3,0.4,17
MIL,55%,67.6%,7.7,1,34.7,1,24,Age,Milwaukee Bucks,43.043611,-87.916944,100%,34.7,7.7,1,17
MIL,49.4%,22.2%,5.3,0.3,18.7,1,29,Age,Milwaukee Bucks,43.043611,-87.916944,100%,18.7,5.3,0.3,17
MIL,53.4%,27.9%,6.8,0.5,34.2,0.5,23,Age,Milwaukee Bucks,43.043611,-87.916944,50%,34.2,6.8,0.5,17
MIL,57.1%,14.3%,8,0,37,1,35,Age,Milwaukee Bucks,43.043611,-87.916944,100%,37,8,0,17
MIL,52%,60%,6,1,34,1,36,Age,Milwaukee Bucks,43.043611,-87.916944,100%,34,6,1,17
MIL,57.9%,42.9%,5,0,27,0,37,Age,Milwaukee Bucks,43.043611,-87.916944,0%,27,5,0,17
MIL,40.2%,34%,6,1.5,27.5,0.5,26,Age,Milwaukee Bucks,43.043611,-87.916944,50%,27.5,6,1.5,17
MIL,50.6%,32.5%,7.8,1.2,30.2,1,21,Age,Milwaukee Bucks,43.043611,-87.916944,100%,30.2,7.8,1.2,17
MIL,57.4%,52.6%,10,1.2,28.2,0.75,30,Age,Milwaukee Bucks,43.043611,-87.916944,75%,28.2,10,1.2,17
MIL,52.5%,39.3%,9.2,0.5,30.5,0.25,27,Age,Milwaukee Bucks,43.043611,-87.916944,25%,30.5,9.2,0.5,17
MIL,48.8%,31.1%,7.4,0.6,30.9,0.7083333333333334,2003-2010 CLE,Team,Milwaukee Bucks,43.043611,-87.916944,70.8%,30.9,7.4,0.6,17
MIL,57.7%,51.3%,8,0.3,42,0.3333333333333333,20,Age,Milwaukee Bucks,43.043611,-87.916944,33.3%,42,8,0.3,17
MIL,55.6%,45.5%,7.8,0.8,28.3,0.8,2014-2018 CLE,Team,Milwaukee Bucks,43.043611,-87.916944,80%,28.3,7.8,0.8,17
MIL,53.3%,45%,7.2,0.6,25.6,0.8,31,Age,Milwaukee Bucks,43.043611,-87.916944,80%,25.6,7.2,0.6,17
MIL,54.8%,30.1%,7.3,0.6,25.7,0.75,2010-2014 MIA,Team,Milwaukee Bucks,43.043611,-87.916944,75%,25.7,7.3,0.6,17
MIL,43.5%,21.2%,6.6,0.4,25.8,0.8,22,Age,Milwaukee Bucks,43.043611,-87.916944,80%,25.8,6.6,0.4,17
MIN,52.9%,20%,7,2.5,28,1,27,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,28,7,2.5,18
MIN,50%,34.5%,8.4,0.6,28.1,0.7142857142857143,2003-2010 CLE,Team,Minnesota Timberwolves,44.979444,-93.276111,71.4%,28.1,8.4,0.6,18
MIN,44.5%,16.7%,7.5,0,20,0.5,19,Age,Minnesota Timberwolves,44.979444,-93.276111,50%,20,7.5,0,18
MIN,53.5%,38.5%,11.7,1.3,24.3,0.6666666666666666,36,Age,Minnesota Timberwolves,44.979444,-93.276111,66.7%,24.3,11.7,1.3,18
MIN,56.4%,66.7%,10.5,0.5,24.5,1,24,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,24.5,10.5,0.5,18
MIN,60%,29.1%,7,1,31,1,23,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,31,7,1,18
MIN,59.8%,30%,10,1.5,38,1,22,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,38,10,1.5,18
MIN,54.5%,47%,9.8,1.8,25,0.5,33,Age,Minnesota Timberwolves,44.979444,-93.276111,50%,25,9.8,1.8,18
MIN,60%,75%,4,0,32,1,34,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,32,4,0,18
MIN,55%,0%,6,1,27,1,26,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,27,6,1,18
MIN,75%,58.4%,8,0.5,26,1,32,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,26,8,0.5,18
MIN,56%,37.5%,6,1,36,1,30,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,36,6,1,18
MIN,48.7%,52.2%,6,0,32,0,20,Age,Minnesota Timberwolves,44.979444,-93.276111,0%,32,6,0,18
MIN,42.1%,0%,9,0,19,0,18,Age,Minnesota Timberwolves,44.979444,-93.276111,0%,19,9,0,18
MIN,46.2%,20%,9,0,18,1,35,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,18,9,0,18
MIN,54.2%,19.2%,6.3,1.7,26.2,0.8333333333333334,2010-2014 MIA,Team,Minnesota Timberwolves,44.979444,-93.276111,83.3%,26.2,6.3,1.7,18
MIN,49.7%,37.7%,9,1.2,24.6,0.6666666666666666,2018-Now LAL,Team,Minnesota Timberwolves,44.979444,-93.276111,66.7%,24.6,9,1.2,18
MIN,47.9%,16.7%,3,1,16,1,25,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,16,3,1,18
MIN,41.2%,30%,10,1,36,1,21,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,36,10,1,18
MIN,50%,53.5%,6,2,29,0.5,29,Age,Minnesota Timberwolves,44.979444,-93.276111,50%,29,6,2,18
MIN,56.3%,25%,10,2,20,1,28,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,20,10,2,18
MIN,61.7%,52%,7.5,1.4,24.6,0.875,2014-2018 CLE,Team,Minnesota Timberwolves,44.979444,-93.276111,87.5%,24.6,7.5,1.4,18
MIN,42.4%,22.9%,6,1.5,22.5,0.5,37,Age,Minnesota Timberwolves,44.979444,-93.276111,50%,22.5,6,1.5,18
MIN,57.5%,50%,8,1.5,19,1,31,Age,Minnesota Timberwolves,44.979444,-93.276111,100%,19,8,1.5,18
NOP,50.8%,50%,5,0.5,28,0.5,22,Age,New Orleans Pelicans,29.948889,-90.081944,50%,28,5,0.5,19
NOP,55%,38.8%,7.7,1,36.3,0,37,Age,New Orleans Pelicans,29.948889,-90.081944,0%,36.3,7.7,1,19
NOP,66.7%,50%,11,0,22,1,27,Age,New Orleans Pelicans,29.948889,-90.081944,100%,22,11,0,19
NOP,49.9%,19.4%,6.7,0.3,23.3,0.3333333333333333,32,Age,New Orleans Pelicans,29.948889,-90.081944,33.3%,23.3,6.7,0.3,19
NOP,46.1%,30%,6.1,0.7,25,0.6875,2003-2010 CLE,Team,New Orleans Pelicans,29.948889,-90.081944,68.8%,25,6.1,0.7,19
NOP,58.2%,42.6%,6,1,29.7,0.6666666666666666,34,Age,New Orleans Pelicans,29.948889,-90.081944,66.7%,29.7,6,1,19
NOP,54.6%,38%,7.5,0.6,29.8,0.6666666666666666,2018-Now LAL,Team,New Orleans Pelicans,29.948889,-90.081944,66.7%,29.8,7.5,0.6,19
NOP,52.2%,36.7%,4.5,0,23,1,36,Age,New Orleans Pelicans,29.948889,-90.081944,100%,23,4.5,0,19
NOP,30.6%,20.8%,7,0.5,18.5,0.5,18,Age,New Orleans Pelicans,29.948889,-90.081944,50%,18.5,7,0.5,19
